Hoofdtelefoonnummer,;088-1881222
Aadorp,;
Aagtekerke,;
Aalden,;
Aalsmeer,;0297-303123
Aalsmeerderbrug,;0909-06666
Aalst,;
Aalsum,;
Aalten,;
Aardenburg,;
Aarlanderveen,;
Aarle Rixtel,;
Aartswoud,;
Abbega,;
Abbekerk,;
Abbenbroek,;
Abbenes,;
Abcoude,;
Achlum,;
Achterveld,;
Achterveld,;
Achthuizen,;
Achtmaal,;
Acquoy,;
Adorp,;
Aduard,;
Aerdenhout,;
Aerdt,;
Afferden,;
Afferden L,;
Agelo,;
Akersloot,;
Akkrum,;
Akmarijp,;
Albergen,;
Alblasserdam,;078-2048188
Alde Leie,;
Aldeboarn,;
Aldtsjerk,;
Alem,;
Alkmaar,;072-7600102
Allingawier,;
Almelo,;0546-241000
Almen,;
Almere,;036-7603299
Almkerk,;
Alphen,;
Alphen,;
Alphen aan den Rijn,;0172-251298
Alteveer,;
Alteveer,;
Alteveer,;
Alteveer gem Hoogeveen,;
Altforst,;
Ambt Delden,;
Ameide,;
Amen,;
America,;
Amerongen,;
Amersfoort,;033-2048064
Ammerstol,;
Ammerzoden,;
Amstelhoek,;
Amstelveen,;020-2149148
Amstenrade,;
Amsterdam,;020-2149148
Amsterdam Duivendrecht,;
Andel,;
Andelst,;
Anderen,;
Andijk,;
Ane,;
Anerveen,;
Anevelde,;
Angeren,;
Angerlo,;
Anjum,;
Ankeveen,;
Anloo,;
Anna Paulowna,;
Annen,;
Annerveenschekanaal,;
Ansen,;
Ansen,;
Apeldoorn,;055-2049230
Appelscha,;
Appeltern,;
Appingedam,;
Arcen,;
Arkel,;
Arnemuiden,;
Arnhem,;026-2051484
Arriën;
Arum,;
Asch,;
Asperen,;
Asse,;
Assen,;0592-217158
Assendelft,;
Asten,;
Augsbuurt,;
Augustinusga,;
Austerlitz,;
Avenhorn,;
Axel,;
Azewijn,;
Baaiduinen,;
Baaium,;
Baak,;
Baambrugge,;
Baard,;
Baarland,;
Baarle Nassau,;
Baarlo,;
Baarlo,;
Baarn,;035-7603955
Baars,;
Babberich,;
Babyloniënbroek;
Bad Nieuweschans,;
Badhoevedorp,;
Baexem,;
Baflo,;
Bakel,;
Bakhuizen,;
Bakkeveen,;
Balgoij,;
Balinge,;
Balk,;
Balkbrug,;
Balloërveld;
Balloo,;
Ballum,;
Baneheide,;
Banholt,;
Bant,;
Bantega,;
Barchem,;
Barendrecht,;0180-229089
Barger Compascuum,;
Barneveld,;0342-231019
Barsingerhorn,;
Basse,;
Batenburg,;
Bathmen,;
Bavel,;
Bavel AC,;
Bears,;
Bedum,;
Beegden,;
Beek,;
Beek,;
Beek,;
Beek en Donk,;
Beekbergen,;
Beemte Broekland,;
Beers NB,;
Beerta,;
Beerze,;
Beerzerveld,;
Beesd,;
Beesel,;
Beets,;
Beetsterzwaag,;
Beilen,;0593-760027
Beinsdorp,;
Belfeld,;
Bellingwolde,;
Belt Schutsloot,;
Beltrum,;
Bemelen,;
Bemmel,;
Beneden Leeuwen,;
Bennebroek,;
Bennekom,;
Benneveld,;
Benningbroek,;
Benschop,;
Bentelo,;
Benthuizen,;
Bentveld,;
Berg en Dal,;
Berg en Terblijt,;
Bergambacht,;
Bergeijk,;
Bergen (NH),;
Bergen aan Zee,;
Bergen L,;
Bergen op Zoom,;0164-760327
Bergentheim,;
Bergharen,;
Berghem,;
Bergschenhoek,;010-7141167
Beringe,;
Berkel en Rodenrijs,;010-7141167
Berkel en Rodenrijs,;010-7141167
Berkel Enschot,;
Berkenwoude,;
Berkhout,;
Berlicum,;
Berltsum,;
Bern,;
Best,;0499-219049
Beugen,;
Beuningen,;
Beuningen Gld,;
Beusichem,;
Beutenaken,;
Beverwijk,;0251-760063
Biddinghuizen,;
Bierum,;
Biervliet,;
Biervliet,;
Biest Houtakker,;
Biezenmortel,;
Biggekerke,;
Bilthoven,;030-7600589
Bingelrade,;
Bitgum,;
Bitgummole,;
Bladel,;
Blankenham,;
Blaricum,;
Blauwestad,;
Blauwhuis,;
Bleiswijk,;
Blesdijke,;
Bleskensgraaf ca,;
Blessum,;
Blije,;
Blijham,;
Blitterswijck,;
Bloemendaal,;023-2049049
Blokker,;
Blokzijl,;
Boazum,;
Bocholtz,;
Bodegraven,;
Boekel,;
Boelenslaan,;
Boer,;
Boerakker,;
Boerakker,;
Boesingheliede,;
Boijl,;
Boksum,;
Bolsward,;
Bontebok,;
Boornbergum,;
Boornzwaag,;
Borculo,;
Borger,;
Borgercompagnie,;
Borgercompagnie,;
Borgsweer,;
Born,;
Borne,;
Bornerbroek,;
Bornwird,;
Borssele,;
Bosch en Duin,;
Boschoord,;
Boskoop,;
Bosschenhoofd,;
Botlek Rotterdam,;
Bourtange,;
Boven Leeuwen,;
Bovenkarspel,;
Bovensmilde,;
Boxmeer,;0485-760159
Boxtel,;
Braamt,;
Brakel,;
Brandwijk,;
Brantgum,;
Breda,;076-2059321
Bredevoort,;
Breedenbroek,;
Breezand,;
Breezanddijk,;
Breskens,;
Breukelen,;
Breukeleveen,;
Brielle,;0181-760844
Briltil,;
Britsum,;
Britswert,;
Broek,;
Broek in Waterland,;
Broek op Langedijk,;
Broekhuizen,;
Broekhuizen,;
Broekhuizenvorst,;
Broekland,;
Broeksterwâld;
Bronkhorst,;
Bronneger,;
Bronnegerveen,;
Brouwershaven,;
Bruchem,;
Brucht,;
Bruchterveld,;
Bruinehaar,;
Bruinisse,;
Brummen,;
Brunssum,;045-7600100
Bruntinge,;
Buchten,;
Budel,;
Budel Dorplein,;
Budel Schoot,;
Buggenum,;
Buinen,;
Buinerveen,;
Buitenkaag,;
Buitenpost,;
Bunde,;
Bunne,;
Bunnik,;
Bunschoten Spakenburg,;
Burdaard,;
Buren,;
Buren,;
Burgerbrug,;
Burgerveen,;
Burgh Haamstede,;
Burgum,;
Burgwerd,;
Burum,;
Bussum,;035-7603955
Buurmalsen,;
Buurmalsen,;
Cadier en Keer,;
Cadzand,;
Callantsoog,;
Capelle aan den Ijssel,;010-7141167
Castelre,;
Castenray,;
Casteren,;
Castricum,;
Chaam,;
Clinge,;
Coevorden,;0524-215049
Colijnsplaat,;
Collendoorn,;
Colmschate,;
Cornwerd,;
Cothen,;
Creil,;
Cromvoirt,;
Cruquius,;
Cuijk,;
Culemborg,;0345-254019
Daarle,;
Daarlerveen,;
Dalem,;
Dalen,;
Dalerpeel,;
Dalerveen,;
Dalfsen,;
Dalmsholte,;
Damwâld;
Darp,;
De Bilt,;
De Blesse,;
De Bult,;
De Cocksdorp,;
De Falom,;
De Glind,;
De Goorn,;
De Groeve,;
De Heen,;
De Heurne,;
de Hoef,;
De Hoeve,;
De Kiel,;
De Klomp,;
De Knipe,;
De Koog,;
De Krim,;
De Kwakel,;
De Lier,;
de Lutte,;
De Meern,;030-7600589
De Moer,;
De Mortel,;
De Pol,;
De Punt,;
De Rijp,;
De Rips,;
De Schiphorst,;
De Steeg,;
De Tike,;
De Veenhoop,;
De Waal,;
De Weere,;
De Westereen,;
de Wijk,;
De Wilgen,;
De Wilp,;
de Woude,;
De Zilk,;
Dearsum,;
Dedemsvaart,;
Dedgum,;
Deelen,;
Deest,;
Deil,;
Deinum,;
Delden,;
Delfgauw,;
Delfstrahuizen,;
Delft,;015-3061060
Delfzijl,;0596-229007
Delwijnen,;
Demen,;
Den Andel,;
Den Bommel,;
Den Burg,;
Den Dolder,;
Den Dungen,;
Den Ham,;
Den Ham,;
Den Helder,;0223-760209
Den Hoorn,;
Den Hoorn,;
Den Horn,;
Den Hout,;
Den Ilp,;
Den Oever,;
Den Velde,;
Denekamp,;
Deurne,;
Deurningen,;
Deurningen,;
Deursen Dennenburg,;
Deurze,;
Deventer,;0570-234260
Didam,;
Dieden,;
Diemen,;020-2149148
Diepenheim,;
Diepenveen,;
Dieren,;
Diessen,;
Diever,;
Dieverbrug,;
Diffelen,;
Dijken,;
Dinteloord,;
Dinxperlo,;
Diphoorn,;
Dirkshorn,;
Dirksland,;
Dodewaard,;
Doenrade,;
Doesburg,;
Doetinchem,;0314-216229
Doeveren,;
Doezum,;
Dokkum,;
Doldersum,;
Domburg,;
Donderen,;
Dongen,;
Dongjum,;
Doniaga,;
Donkerbroek,;
Doorn,;
Doornenburg,;
Doornspijk,;
Doorwerth,;
Dordrecht,;078-2048188
Dorst,;
Drachten,;0512-232015
Drachten Azeven,;
Drachtstercompagnie,;
Dreischor,;
Drempt,;
Dreumel,;
Driebergen Rijsenburg,;
Drieborg,;
Driebruggen,;
Driehuis NH,;
Driehuizen,;
Driel,;
Driewegen,;
Driezum,;
Drijber,;
Drimmelen,;
Drogeham,;
Drogteropslagen,;
Drongelen,;
Dronryp,;
Dronten,;0321-230033
Drouwen,;
Drouwenermond,;
Drouwenerveen,;
Drunen,;
Druten,;
Duiven,;
Duivendrecht,;
Duizel,;
Dussen,;
Dwingeloo,;
Eagum,;
Earnewâld,;
Easterein,;
Easterlittens,;
Eastermar,;
Easterwierrum,;
Echt,;0475-227111
Echteld,;
Echten,;
Echten,;
Echtenerbrug,;
Eck en Wiel,;
Eckelrade,;
Edam,;
Ede,;0318-731507
Ederveen,;
Ee,;
Eede,;
Eefde,;
Eelde,;
Eelderwolde,;
Eemdijk,;
Eemnes,;
Eemshaven,;
Een,;
Een West,;
Eenrum,;
Eenum,;
Eerbeek,;
Eersel,;
Ees,;
Eesergroen,;
Eeserveen,;
Eesterga,;
Eesveen,;
Eethen,;
Eext,;
Eexterveen,;
Eexterveenschekanaal,;
Eexterzandvoort,;
Egchel,;
Egmond aan den Hoef,;
Egmond aan Zee,;
Egmond Binnen,;
Eibergen,;
Eijsden,;
Eindhoven,;040-2319565
Einighausen,;
Ekehaar,;
Elahuizen,;
Elburg,;
Eldersloo,;
Eleveld,;
Elim,;
Elkenrade,;
Ell,;
Ellecom,;
Ellemeet,;
Ellertshaar,;
Ellewoutsdijk,;
Elp,;
Elsendorp,;
Elshout,;
Elsloo,;
Elsloo,;
Elspeet,;
Elst,;
Elst Ut,;
Emmeloord,;0527-760023
Emmen,;0591-238011
Emmer Compascuum,;
Empe,;
Emst,;
Engwierum,;
Enkhuizen,;0228-230023
Ens,;
Enschede,;053-2068038
Enspijk,;
Enter,;
Enumatil,;
Epe,;
Epen,;
Eppenhuizen,;
Epse,;
Erica,;
Erichem,;
Erlecom,;
Erm,;
Ermelo,;0341-217041
Erp,;
Esbeek,;
Esch,;
Escharen,;
Espel,;
Est,;
Etten,;
Etten Leur,;076-2059321
Europoort Rotterdam,;
Eursinge,;
Eursinge,;
Everdingen,;
Evertsoord,;
Ewijk,;
Exloërveen,;
Exloo,;
Exmorra,;
Eygelshoven,;
Eys,;
Ezinge,;
Farmsum,;
Feanwâlden,;
Feerwerd,;
Feinsum,;
Ferwert,;
Ferwoude,;
Fijnaart,;
Finsterwolde,;
Firdgum,;
Fleringen,;
Fluitenberg,;
Fochteloo,;
Follega,;
Folsgare,;
Formerum,;
Foudgum,;
Foxhol,;
Foxwolde,;
Franeker,;
Frederiksoord,;
Friens,;
Frieschepalen,;
Froombosch,;
Gaanderen,;
Gaast,;
Gaastemeer,;
Galder,;
Gameren,;
Gapinge,;
Garderen,;
Garmerwolde,;
Garminge,;
Garnwerd,;
Garrelsweer,;
Garsthuizen,;
Garyp,;
Gassel,;
Gasselte,;
Gasselternijveen,;
Gasselternijveenschemond,;
Gastel,;
Gasteren,;
Gauw,;
Geelbroek,;
Geerdijk,;
Geersdijk,;
Geertruidenberg,;
Geervliet,;
Gees,;
Geesbrug,;
Geesteren,;
Geesteren,;
Geeuwenbrug,;
Geffen,;
Geijsteren,;
Geldermalsen,;0345-254019
Gelderswoude,;
Geldrop,;040-2319565
Geleen,;046-2077000
Gellicum,;
Gelselaar,;
Gemert,;
Gemonde,;
Genderen,;
Gendringen,;
Gendt,;
Genemuiden,;
Gennep,;0485-760159
Gerkesklooster,;
Gersloot,;
Geulle,;
Giesbeek,;
Giessen,;
Giessenburg,;
Gieten,;
Gieterveen,;
Giethmen,;
Giethoorn,;
Gilze,;
Ginnum,;
Glane,;
Glimmen,;
Godlinze,;
Goedereede,;
Goënga,;
Goëngahuizen,;
Goes,;0113-296149
Goingarijp,;
Goirle,;
Goor,;
Gorinchem,;0183-216088
Gorredijk,;
Gorssel,;
Gouda,;0182-441114
Gouderak,;
Goudriaan,;
Goudswaard,;
Goutum,;
Graauw,;
Grafhorst,;
Graft,;
Gramsbergen,;
Grashoek,;
Grathem,;
Grave,;
Greonterp,;
Grevenbicht,;
Griendtsveen,;
Grijpskerk,;
Grijpskerke,;
Groede,;
Groenekan,;
Groeningen,;
Groenlo,;
Groesbeek,;
Groessen,;
Groet,;
Grolloo,;
Groningen,;050-2069022
Gronsveld,;
Groot Ammers,;
Grootebroek,;
Grootegast,;
Grootschermer,;
Grou,;
Grubbenvorst,;
Gulpen,;043-2061133
Guttecoven,;
Gytsjerk,;
Haaften,;
Haaksbergen,;
Haalderen,;
Haaren,;
Haarle,;
Haarle,;
Haarlem,;023-2049049
Haarlemmerliede,;
Haarlo,;
Haarsteeg,;
Haarzuilens,;
Haastrecht,;
Haelen,;
Hagestein,;
Haghorst,;
Haler,;
Halfweg,;
Hall,;
Halle,;
Hallum,;
Halsteren,;
Handel,;
Hank,;
Hansweert,;
Hantum,;
Hantumeruitburen,;
Hantumhuizen,;
Hapert,;
Haps,;
Harbrinkhoek,;
Hardenberg,;
Harderwijk,;0341-217041
Hardinxveld Giessendam,;
Haren,;050-2069022
Haren,;050-2069022
Harfsen,;
Harich,;
Haringhuizen,;
Harkema,;
Harkstede,;
Harkstede GN,;
Harlingen,;
Harmelen,;
Harreveld,;
Harskamp,;
Hartwerd,;
Haskerdijken,;
Haskerhorne,;
Hasselt,;
Hattem,;
Hattemerbroek,;
Haule,;
Haulerwijk,;
Hauwert,;
Havelte,;
Havelterberg,;
Hazerswoude Dorp,;
Hazerswoude Rijndijk,;
Hedel,;
Hedikhuizen,;
Hee,;
Heeg,;
Heel,;
Heelsum,;
Heelweg,;
Heemserveen,;
Heemskerk,;0251-760063
Heemstede,;023-2049049
Heenvliet,;
Heerde,;
Heerenveen,;0513-226040
Heerewaarden,;
Heerhugowaard,;072-7600102
Heerjansdam,;
Heerle,;
Heerlen,;045-7600100
Heesbeen,;
Heesch,;
Heesselt,;
Heeswijk Dinther,;
Heeten,;
Heeze,;
Hegebeintum,;
Hegelsom,;
Hei  en Boeicop,;
Heibloem,;
Heide,;
Heijen,;
Heijenrath,;
Heijningen,;
Heikant,;
